SNo,Name,Symbol,date,high,low,open,close,Volume,Marketcap
1,Aave,AAVE,28-04-2013,55.11235847,49.78789992,52.67503496,53.21924296,0,89128128.86
2,Aave,AAVE,29-04-2013,53.40227002,40.73457791,53.29196931,42.40159861,583091.4598,71011441.25
3,Aave,AAVE,30-04-2013,42.40831364,35.97068975,42.39994711,40.08397561,682834.1863,67130036.9
4,Aave,AAVE,01-05-2013,44.90251114,36.69605677,39.88526234,43.76446306,1658816.923,220265142.1
5,Aave,AAVE,02-05-2013,47.56953274,43.2917758,43.76446306,46.81774415,815537.6608,235632208.2
6,Aave,AAVE,03-05-2013,51.4056548,46.70332768,46.81814554,49.13371767,1074627.028,247288428.8
7,Aave,AAVE,04-05-2013,51.45337431,48.71603954,49.13312951,49.66072573,692150.6009,249940843.4
8,Aave,AAVE,05-05-2013,54.42141763,48.75407708,49.66157329,52.23869222,1354836.065,262915666.3
9,Aave,AAVE,06-05-2013,57.48190422,49.59873521,52.23839242,51.12431679,1386221.207,257307050.4
10,Aave,AAVE,07-05-2013,57.85394649,49.62952942,51.37289869,51.31651791,3132405.422,258274392.5
11,Aave,AAVE,08-05-2013,52.08068541,44.01832531,51.38760962,44.01918294,5883146.063,221547139.1
12,Aave,AAVE,09-05-2013,43.90673033,39.14295677,42.89060653,39.49584426,52855204.94,365071463.3
13,Aave,AAVE,10-05-2013,43.07737327,38.63361292,39.48619161,41.36699325,43339687.25,382367032.3
14,Aave,AAVE,11-05-2013,41.7494876,39.53158618,41.38959771,40.74697166,40441163.46,376635994.1
15,Aave,AAVE,12-05-2013,40.9951837,35.95136399,40.83675675,36.01231739,49289896.51,332872221.2
16,Aave,AAVE,13-05-2013,36.31907005,32.1010995,36.04378522,32.18001748,60632325.59,297449169.5
17,Aave,AAVE,14-05-2013,37.07820274,32.04814912,32.25348971,35.16035652,43831234.96,324997301.5
18,Aave,AAVE,15-05-2013,39.85692062,33.58946348,35.09748742,38.03165056,54717366.38,402396251.5
19,Aave,AAVE,16-05-2013,42.54665591,36.92467124,37.73059438,41.68663736,76081859.91,445257058
